,compound_name,cas_number,species,strain,dosage,avg_lifespan_change,max_lifespan_change,gender,significance,pubmed_id
1550,Tiapride Hydrochloride,51012-33-0,Caenorhabditis elegans,N2,10 µM,-4.75,,,NS,33008901
3112,Thyroxin,51-48-9,Rattus norvegicus,Wistar,1 µg/g bodyweight,16.1,,Male,O,6632988
3111,Thyroxin,51-48-9,Rattus norvegicus,Wistar,2 µg/g bodyweight,11.1,,Male,O,6632988
3110,Thyroxin,51-48-9,Rattus norvegicus,Wistar,2 µg/g bodyweight,11.6,,Female,O,6632988
3109,Thyroxin,51-48-9,Rattus norvegicus,Wistar,1 µg/g bodyweight,8.4,,Female,O,6632988
3108,Thyroxin,51-48-9,Rattus norvegicus,Wistar,0.5 µg/g bodyweight,6.9,,Male,O,6632988
3107,Thyroxin,51-48-9,Rattus norvegicus,Wistar,0.5 µg/g bodyweight,-3.5,,Female,O,6632988
2975,Thymus-derived polypeptide factors,,Mus musculus,,0.1 mg,,,FEMALE,S,2682058
1546,Thymine,65-71-4,Caenorhabditis elegans,N2,0.5 mM,15.23,,,S,31232697
1549,Thymine,65-71-4,Caenorhabditis elegans,N2,10 mM,6.03,,,S,31232697
1547,Thymine,65-71-4,Caenorhabditis elegans,N2,2 mM,18.3,,,S,31232697
1548,Thymine,65-71-4,Caenorhabditis elegans,N2,0.1 mM,0.0,,,NS,31232697
1545,Thymidine,50-89-5,Caenorhabditis elegans,N2,0.5 mM,0.0,,,NS,31232697
1542,Threonine,72-19-5,Caenorhabditis elegans,N2,5 mM,3.0,,,NS,25643626
1544,Threonine,72-19-5,Caenorhabditis elegans,N2,1 mM,0.0,,,S,25643626
1543,Threonine,72-19-5,Caenorhabditis elegans,N2,10 mM,8.0,,,S,25643626
2649,Thiostrepton,,Drosophila melanogaster,Canton-S,20 μM,-12.13,,Female,S,33008901
1541,Thiostrepton,,Caenorhabditis elegans,N2,100 µM,3.75,,,NS,33008901
1540,Thiostrepton,,Caenorhabditis elegans,N2,10 µM,-7.42,,,S,33008901
2648,Thioridazine-HCL,130-61-0,Drosophila melanogaster,Canton-S,200 μM,-3.57,,Male,NS,33008901
1539,Thioridazine hydrochloride,130-61-0,Caenorhabditis elegans,,33 µM,31.0,,,S,24134630
2647,Thioridazine,50-52-2,Drosophila melanogaster,Canton-S,200 μM,16.16,,Male,S,33008901
2646,Thioridazine,50-52-2,Drosophila melanogaster,Canton-S,20 μM,5.08,,Female,NS,33008901
1537,Thioflavin T,2390-54-7,Caenorhabditis elegans,MY16,50 μM,75.0,,,S,31820364
116,Thioflavin T,2390-54-7,Caenorhabditis briggsae,HK104,50 μM,10.53,,,S,31820364
1536,Thioflavin T,2390-54-7,Caenorhabditis elegans,N2,50-100 µM,60.0,78.0,,S,21451522
1538,Thioflavin T,2390-54-7,Caenorhabditis elegans,N2,50 μM,27.78,,,S,31820364
2645,Thiazolidine carboxylic acid,16310-13-7,Drosophila melanogaster,Oregon R,0.3% wt/vol,31.0,,,S,6821144
1535,Theophylline,58-55-9,Caenorhabditis elegans,N2,1 mM,16.78,,,S,31432005
1534,Theophylline,58-55-9,Caenorhabditis elegans,N2,5 mM,25.59,,,S,31432005
1533,Theobromine,83-67-0,Caenorhabditis elegans,N2,1 mM,-0.85,,,NS,31432005
1532,Thapsigargin,67526-95-8,Caenorhabditis elegans,N2,10 nM,7.5,,,S,33766744
1531,Thapsigargin,67526-95-8,Caenorhabditis elegans,N2,10 nM,9.6,,,S,29988547
2643,Tetramethypyrazine,,Drosophila melanogaster,Canton-S,20 μM,5.61,,Female,NS,33008901
2644,Tetramethypyrazine,,Drosophila melanogaster,Canton-S,200 μM,5.67,,Male,S,33008901
1530,Tetramethylpyrazine,1124-11-4,Caenorhabditis elegans,N2,10 µM,-3.82,,,S,33008901
1529,Tetramethylpyrazine,1124-11-4,Caenorhabditis elegans,N2,100 µM,5.65,,,NS,33008901
2973,Tetrahydrocurcumin,36062-04-1,Mus musculus,Sprague-Dawley,0.002,10.6,,MALE,S,15247057
2974,Tetrahydrocurcumin,36062-04-1,Mus musculus,C57BL/6J,0.002,10.7,6.5,MALE,S,17516143
1527,Tetraethylammonium chloride,56-34-8,Caenorhabditis elegans,N2,100 µM,6.58,,,NS,33008901
1528,Tetraethylammonium chloride,56-34-8,Caenorhabditis elegans,N2,10 µM,0.68,,,NS,33008901
1526,Tetracycline HCL II,,Caenorhabditis elegans,N2,100 µM,13.7,,,S,33008901
2639,Tetracycline HCL,,Drosophila melanogaster,Canton-S,20 μM,-4.34,,Female,NS,33008901
1524,Tetracycline HCL,,Caenorhabditis elegans,N2,10 µM,10.45,,,S,33008901
1525,Tetracycline HCL,,Caenorhabditis elegans,N2,100 µM,9.18,,,S,33008901
2642,Tetracycline HCL,,Drosophila melanogaster,Canton-S,200 μM,0.51,,Male,NS,33008901
2640,Tetracycline HCL,,Drosophila melanogaster,Canton-S,200 μM,0.28,,Male,NS,33008901
2641,Tetracycline HCL,,Drosophila melanogaster,Canton-S,20 μM,5.23,,Female,S,33008901
1523,Tetracaine HCl,136-47-0,Caenorhabditis elegans,N2,10 µM,4.81,,,NS,33008901
2638,Tetracaine,94-24-6,Drosophila melanogaster,Canton-S,200 μM,3.18,,Male,NS,33008901
2634,Tert-butyl hydroperoxide,75-91-2,Drosophila melanogaster,Canton-S,5 mM,28.4,,Male,S,29515102
2637,Tert-butyl hydroperoxide,75-91-2,Drosophila melanogaster,w iso31,1 mM,12.2,,Male,S,29515102
2635,Tert-butyl hydroperoxide,75-91-2,Drosophila melanogaster,Canton-S,1 mM,22.7,,Female,S,29515102
2636,Tert-butyl hydroperoxide,75-91-2,Drosophila melanogaster,Canton-S,5 mM,22.6,,Female,S,29515102
2633,Tert-butyl hydroperoxide,75-91-2,Drosophila melanogaster,w iso31,5 mM,11.9,,Female,S,29515102
2632,Tert-butyl hydroperoxide,75-91-2,Drosophila melanogaster,w iso31,1 mM,16.7,,Female,S,29515102
2631,Tert-butyl hydroperoxide,75-91-2,Drosophila melanogaster,w iso31,10 mM,17.4,,Male,S,29515102
2630,Tert-butyl hydroperoxide,75-91-2,Drosophila melanogaster,w iso31,5 mM,19.7,,Male,S,29515102
2628,Tert-butyl hydroperoxide,75-91-2,Drosophila melanogaster,w iso31,1.25 mM,18.3,,Male,S,29515102
2629,Tert-butyl hydroperoxide,75-91-2,Drosophila melanogaster,w iso31,2.5 mM,12.1,,Male,S,29515102
3191,Terreic acid,121-40-4,Saccharomyces cerevisiae,BY4741,10 μM,15.0,,,S,29186697
1522,Tectochrysin,520-28-5,Caenorhabditis elegans,N2,200 µM,21.0,,,S,32506187
2627,Tea (Camellia sinensis) extract,,Drosophila melanogaster,Oregon R,Instead of water,12.2,,Male,S,8326745
2626,Tea (Camellia sinensis) extract,,Drosophila melanogaster,Oregon R,Instead of water,20.2,,Male,S,8326745
2625,Tea (Camellia sinensis) extract,,Drosophila melanogaster,Oregon R,1:10 dilution,7.0,,Male,S,8326745
2624,Tea (Camellia sinensis) extract,,Drosophila melanogaster,Oregon R,Instead of water,15.7,,Male,S,8326745
1521,Taxifolin,480-18-2,Caenorhabditis elegans,N2,820 µM,51.0,,,S,18755260
1518,Taurine,107-35-7,Caenorhabditis elegans,N2,1 mM,11.0,,,S,25643626
2623,Taurine,107-35-7,Drosophila melanogaster,Canton-S,1.50%,-14.29,-23.19,Male,S,29093334
2621,Taurine,107-35-7,Drosophila melanogaster,Oregon-R,0.1 M,-0.49,,MALE,NS,2495975
2620,Taurine,107-35-7,Drosophila melanogaster,Oregon-R,0.2 M,-0.32,,MALE,NS,2495975
1520,Taurine,107-35-7,Caenorhabditis elegans,N2,10 mM,-4.0,,,S,25643626
1519,Taurine,107-35-7,Caenorhabditis elegans,N2,5 mM,6.0,,,S,25643626
2622,Taurine,107-35-7,Drosophila melanogaster,Oregon-R,0.05 M,2.28,,MALE,NS,2495975
3015,Tartrate,,Mytilina brevispina,,0.25% on alternate days,43.7,,,O,804507
2617,Tartaric acid,133-37-9,Drosophila melanogaster,Oregon R,0.001 M,0.0,,,O,110607
2619,Tartaric acid,133-37-9,Drosophila melanogaster,Oregon R,0.01M,6.0,,Male,O,110607
2618,Tartaric acid,133-37-9,Drosophila melanogaster,Oregon R,0.1M,-72.0,,Male,O,110607
2614,Tannic acid,1401-55-4,Drosophila melanogaster,Oregon R,1 mg/ml,0.0,,Male,NS,8326745
2615,Tannic acid,1401-55-4,Drosophila melanogaster,Oregon R,0.1 mg/ml,0.0,,Male,NS,8326745
1517,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,50 µM,16.0,,,S,22493606
1516,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,100 µM,19.0,,,S,22493606
1515,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,100 µM,18.0,,,S,22493606
1514,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,25 µM,10.0,,,S,22493606
1513,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,400 µM,-11.0,,,S,22493606
1512,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,200 µM,8.0,,,S,22493606
1511,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,300 µM,1.0,,,NS,22493606
1510,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,400 μM,-10.64,,,S,21805983
1509,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,300 µM,-0.95,,,NS,21805983
1508,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,200 µM,8.35,,,S,21805983
1507,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,100 µM,17.6,,,S,21805983
1506,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,50 µM,16.17,,,S,21805983
1505,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,25 µM,10.26,,,S,21805983
1504,Tannic acid,1401-55-4,Caenorhabditis elegans,N2,100 µM,18.0,,,S,20413530
2616,Tannic acid,1401-55-4,Drosophila melanogaster,Oregon R,1 mg/ml,-2.9,,Male,NS,8326745
1503,Tanespimycin,75747-14-7,Caenorhabditis elegans,N2,25 µM,54.16,,,S,30970250
1502,Tanespimycin,75747-14-7,Caenorhabditis elegans,N2,100 µM,23.52,,,S,30625143
1501,Tanespimycin,75747-14-7,Caenorhabditis elegans,N2,100 µM,23.52,,,S,30625143
1500,Tamarixetin	,603-61-2,Caenorhabditis elegans,N2,200 µM,11.46,-2.04,,S,21776484
1499,Tamarixetin,603-61-2,Caenorhabditis elegans,,,28.0,,,O,16872777
1498,TPEN,16858-02-9,Caenorhabditis elegans,N2,200 µM,43.0,,,S,27078872
2971,TM5441,,Mus musculus,,60 ppm,-4.0,,male,NS,30916479
2972,TM5441,,Mus musculus,,60 ppm,0.0,,female,NS,30916479
1496,Supercinnamaldehyde,,Caenorhabditis elegans,N2,10 µM,-10.22,,,NS,33008901
1497,Supercinnamaldehyde,,Caenorhabditis elegans,N2,100 µM,-4.07,,,NS,33008901
1495,Sulindac Sulfide,49627-27-2,Caenorhabditis elegans,N2,100 µM,3.0,,,NS,33008901
2612,Sulindac Sulfide,49627-27-2,Drosophila melanogaster,Canton-S,200 μM,-1.8,,Male,NS,33008901
2613,Sulindac Sulfide,49627-27-2,Drosophila melanogaster,Canton-S,20 μM,-0.63,,Female,NS,33008901
1494,Sulindac Sulfide,49627-27-2,Caenorhabditis elegans,N2,10 µM,1.71,,,NS,33008901
1491,Sulforaphane,4478-93-7,Caenorhabditis elegans,N2,200 μM,13.31,,,S,33471780
1492,Sulforaphane,4478-93-7,Caenorhabditis elegans,N2,100 μM,18.2,,,S,33471780
1493,Sulforaphane,4478-93-7,Caenorhabditis elegans,N2,400 μM,15.46,,,S,33471780
1489,Sulfamethoxazole,723-46-6,Caenorhabditis elegans,N2,100 µM,34.0,0.0,,S,24034891
1488,Sulfamethoxazole,723-46-6,Caenorhabditis elegans,N2,400 µM,18.0,0.0,,S,24034891
1490,Sulfamethoxazole,723-46-6,Caenorhabditis elegans,N2,200 µM,28.0,0.0,,S,24034891
3106,Sulfamerazine,127-79-7,Rattus norvegicus,,250 mg/kg,13.84,,MALE,S,620944
3105,Sulfamerazine,127-79-7,Rattus norvegicus,,250 mg/kg,36.21,,FEMALE,S,620944
2611,Sulfacetamide,144-80-9,Drosophila melanogaster,Canton-S,20 μM,4.72,,Female,NS,33008901
2610,Sulfacetamide,144-80-9,Drosophila melanogaster,Canton-S,200 μM,-0.65,,Male,NS,33008901
1487,Sulfacetamide,144-80-9,Caenorhabditis elegans,N2,10 µM,-5.09,,,NS,33008901
1486,Sucrose,57-50-1,Caenorhabditis elegans,N2,5 mM,-4.0,,,NS,20477758
1483,Succinate,56-14-4,Caenorhabditis elegans,N2,10 mM,4.0,,,NS,25643626
1484,Succinate,56-14-4,Caenorhabditis elegans,N2,5 mM,10.0,,,S,25643626
1485,Succinate,56-14-4,Caenorhabditis elegans,N2,1 mM,11.0,,,S,25643626
2609,Staurosporine,62996-74-1,Drosophila melanogaster,Oregon R,30-50 µM,34.8,,,S,22363408
2608,Stachys lavandulifolia water extract,,Drosophila melanogaster,Oregon R,20 µl/100 ml media,35.6,14.0,Female,S,20738162
2606,Stachys lavandulifolia water extract,,Drosophila melanogaster,Oregon R,12 µl/100 ml media,22.1,10.6,Male,S,20738162
2605,Stachys lavandulifolia water extract,,Drosophila melanogaster,Oregon R,12 µl/100 ml media,21.9,8.0,Female,S,20738162
2607,Stachys lavandulifolia water extract,,Drosophila melanogaster,Oregon R,20 µl/100 ml media,32.0,14.9,Male,S,20738162
2604,Stachys lavandulifolia ethanol extract,,Drosophila melanogaster,Oregon R,12 µl/100 ml media,31.3,22.0,Female,S,20738162
2603,Stachys lavandulifolia ethanol extract,,Drosophila melanogaster,Oregon R,20 µl/100 ml media,55.7,36.0,Female,S,20738162
2602,Stachys lavandulifolia ethanol extract,,Drosophila melanogaster,Oregon R,20 µl/100 ml media,44.4,8.0,Male,S,20738162
2601,Stachys lavandulifolia ethanol extract,,Drosophila melanogaster,Oregon R,4 µl/100 ml media,16.0,14.0,,S,20738162
2600,Stachys lavandulifolia ethanol extract,,Drosophila melanogaster,Oregon R,12 µl/100 ml media,26.8,21.3,Male,S,20738162
2599,Stachys lavandulifolia ethanol extract,,Drosophila melanogaster,Oregon R,4 µl/100 ml media,12.4,6.4,,S,20738162
2970,Spermine,71-44-3,Mus musculus,Crj:CD-1,3 mg.kg-1.dose-1 ,,,Female,S,21858192
3190,Spermidine,124-20-9,Saccharomyces cerevisiae,,4 mM,233.0,,,S,19801973
2598,Spermidine,124-20-9,Drosophila melanogaster,w1118,1 mM,30.0,,,S,19801973
2967,Spermidine,124-20-9,Mus musculus,C57BL/6J,0.3mM,10.6,,FEMALE,S,27841876
2968,Spermidine,124-20-9,Mus musculus,C57BL/6J,3 mM,6.5,,BOTH,S,27841876
2969,Spermidine,124-20-9,Mus musculus,C57BL/6,Drinking water supplemented with 3mM,23.79,,Male,S,28386016
11,Spermidine,124-20-9,Adineta vaga,,100 μM,79.0,,,S,31185582
3046,Spermidine,124-20-9,Philodina acuticornis,,100 μM,81.0,,,S,31185582
1482,Spermidine,124-20-9,Caenorhabditis elegans,N2,0.2 mM,15.0,,,S,19801973
1479,Specioside,72514-90-0,Caenorhabditis elegans,N2,25 µM,15.5,,,S,25619942
1480,Specioside,72514-90-0,Caenorhabditis elegans,N2,50 µM,11.8,,,S,25619942
1481,Specioside,72514-90-0,Caenorhabditis elegans,N2,5 µM,8.9,,,S,25619942
1478,Soybean trypsin inhibitor,,Caenorhabditis elegans,N2,10 µM,10.4,,,S,25959406
1477,Soybean trypsin inhibitor,,Caenorhabditis elegans,N2,5 µM,8.7,,,S,25959406
1476,Sorbitol,50-70-4,Caenorhabditis elegans,N2,500 mM,39.35,57.89,,S,26854551
1471,Sorbitol,50-70-4,Caenorhabditis elegans,N2,2%,-2.0,,,NS,19883616
1472,Sorbitol,50-70-4,Caenorhabditis elegans,N2,1%,17.9,,,S,26579191
1473,Sorbitol,50-70-4,Caenorhabditis elegans,N2,2.50%,32.7,,,S,26579191
1474,Sorbitol,50-70-4,Caenorhabditis elegans,N2,12.50%,16.0,,,S,26579191
1475,Sorbitol,50-70-4,Caenorhabditis elegans,N2,5%,27.12,,,S,26579191
3189,Sorbitol,50-70-4,Saccharomyces cerevisiae,PSY316,1 M,29.9,,,O,12391171
1470,Sorbitol,50-70-4,Caenorhabditis elegans,N2,2%,5.0,,,NS,19883616
2966,Sodium tungstate,13472-45-2,Mus musculus,Swiss,5 ppm,40.75,-19.96,MALE,S,1113210
3104,Sodium tungstate,13472-45-2,Rattus norvegicus,Long-Evans,5 ppm,-3.57,-12.18,FEMALE,NS,1113208
3103,Sodium tungstate,13472-45-2,Rattus norvegicus,Long-Evans,5 ppm,-13.37,-15.53,MALE,S,1113208
2595,Sodium salicylate,54-21-7,Drosophila melanogaster,Oregon-R,0.001 M,-1.46,,MALE,NS,3921599
2594,Sodium salicylate,54-21-7,Drosophila melanogaster,Oregon-R,0.015 M,-11.94,,MALE,S,3921599
2596,Sodium salicylate,54-21-7,Drosophila melanogaster,Canton S,175 mg/100 mL of medium,4.0,1.0,Male,NS,4397875
2597,Sodium salicylate,54-21-7,Drosophila melanogaster,Canton S,175 mg/100 mL of medium,25.0,27.0,Female,S,4397875
1469,Sodium pyruvate,113-24-6,Caenorhabditis elegans,N2,2.5 mM,13.9,,,S,21040400
2963,Sodium metaborate,7775-19-1,Mus musculus,Swiss,5 ppm,29.85,-7.01,MALE,NS,1113210
2964,Sodium metaborate,7775-19-1,Mus musculus,Swiss,5 ppm,-2.94,-9.63,FEMALE,NS,1113210
2965,Sodium metaborate,7775-19-1,Mus musculus,Swiss,5 ppm,-3.24,-9.45,FEMALE,NS,1113210
3243,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,1 µM,1.0,6.0,Female,S,3721207
3245,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,100 mM,-46.9,-47.2,Female,S,3721207
3235,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,1 mM,-89.8,-94.9,Female,S,3721207
3236,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,500 mM,-85.3,-78.6,Male,S,3721207
3254,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,100 µM,24.9,22.9,Male,S,3721207
3253,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,1 mM,28.5,34.3,Male,S,3721207
3252,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,1 mM,28.1,27.0,Female,S,3721207
3251,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,5 mM,25.4,19.7,Female,S,3721207
3250,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,5 mM,23.6,21.9,Male,S,3721207
3249,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,60 mM,-24.2,-8.1,Male,S,3721207
3237,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,100 mM,-58.8,-54.8,Male,S,3721207
3238,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,60 mM,-24.4,-11.2,Female,S,3721207
3248,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,10 µM,13.2,12.4,Male,S,3721207
3242,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,1 mM,-88.5,-91.4,Male,S,3721207
3246,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,1 µM,5.3,5.7,Male,S,3721207
3247,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,100 µM,18.0,21.0,Female,S,3721207
3239,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,500 mM,-84.1,-78.1,Female,S,3721207
3244,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,10 µM,13.0,13.3,Female,S,3721207
3241,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,10 mM,-4.1,-1.4,Male,NS,3721207
3240,Sodium hypophosphite,7681-53-0,Zaprionus paravittiger,,10 mM,-8.3,-1.7,Female,S,3721207
2593,Sodium fluoride,7681-49-4,Drosophila melanogaster,Oregon-R,0.1 mM,-4.4,,MALE,NS,3932134
2592,Sodium fluoride,7681-49-4,Drosophila melanogaster,Oregon-R,0.01 mM,-3.4,,MALE,NS,3932134
2591,Sodium fluoride,7681-49-4,Drosophila melanogaster,Oregon-R,0.001 mM,-4.4,,MALE,NS,3932134
3044,Sodium citrate,68-04-2,Philodina acuticornis,Milne,17 mM,2.23,,,NS,5166382
87,Sodium citrate,68-04-2,Asplanchna brightwelli,4B61,0.50%,-27.09,-14.28,,S,7428860
3045,Sodium citrate,68-04-2,Philodina acuticornis,Milne,17 mM,-1.26,,,NS,5166382
2590,Sodium butyrate,156-54-7,Drosophila melanogaster,Ra,10 mM,8.3,12.0,Female,S,26136617
2582,Sodium butyrate,156-54-7,Drosophila melanogaster,Ra,100 mM,-10.9,,,S,23044027
2588,Sodium butyrate,156-54-7,Drosophila melanogaster,Ra,10 mM,12.5,,,S,23044027
2583,Sodium butyrate,156-54-7,Drosophila melanogaster,Ra,100 mM,4.2,,,S,23044027
2584,Sodium butyrate,156-54-7,Drosophila melanogaster,Ra,100 mM,-6.3,,,NS,23044027
2585,Sodium butyrate,156-54-7,Drosophila melanogaster,Ra,10 mM,-6.3,,,NS,23044027
2586,Sodium butyrate,156-54-7,Drosophila melanogaster,Ra,100 mM,8.3,,,S,23044027
2587,Sodium butyrate,156-54-7,Drosophila melanogaster,Ra,10 mM,8.3,,,S,23044027
2589,Sodium butyrate,156-54-7,Drosophila melanogaster,Ra,10 mM,14.6,9.1,Female,S,26136617
2581,Sodium butyrate,156-54-7,Drosophila melanogaster,Ra,10 mM,-9.1,,,NS,23044027
2962,Sodium borate,,Mus musculus,C57BL/6J,0.1 mM (4.3 ppm),-2.9,,MALE,NS,7889879
2570,Sodium borate,,Drosophila melanogaster,Oregon-R,0.0001 M,3.0,,MALE,S,2325439
2579,Sodium borate,,Drosophila melanogaster,Oregon R,0.25 mM,9.5,,Male,NS,7889879
2578,Sodium borate,,Drosophila melanogaster,Oregon R,0.1 mM,3.0,,Male,S,7889879
2577,Sodium borate,,Drosophila melanogaster,Oregon R,0.01 mM,1.5,,Male,S,7889879
2575,Sodium borate,,Drosophila melanogaster,Oregon R,0.05 M,-51.9,,Male,S,7889879
2574,Sodium borate,,Drosophila melanogaster,Oregon R,0.01 M,-69.2,,Male,S,7889879
2573,Sodium borate,,Drosophila melanogaster,Oregon-R,0.00025 M,9.5,,MALE,S,2325439
2572,Sodium borate,,Drosophila melanogaster,Oregon-R,0.000001,0.0,,MALE,NS,2325439
2571,Sodium borate,,Drosophila melanogaster,Oregon-R,0.00001 M,1.5,,MALE,S,2325439
2576,Sodium borate,,Drosophila melanogaster,Oregon R,1 µM,0.0,,Male,NS,7889879
2569,Sodium borate,,Drosophila melanogaster,Oregon-R,0.001 M,-21.2,,MALE,S,2325439
2580,Sodium borate,,Drosophila melanogaster,Oregon R,1 mM,-21.2,,Male,S,7889879
2568,Sodium borate,,Drosophila melanogaster,Oregon-R,0.005 M,-51.9,,MALE,S,2325439
2567,Sodium borate,,Drosophila melanogaster,Oregon-R,0.01 M,-69.2,,MALE,S,2325439
2961,Sodium borate,,Mus musculus,C57BL/6J,0.5 mM (21.6 ppm),0.8,,MALE,NS,7889879
3043,Sodium azide,26628-22-8,Philodina acuticornis,,100 μM,-18.0,,,S,31185582
10,Sodium azide,26628-22-8,Adineta vaga,,100 μM,-67.0,,,S,31185582
2566,Sodium Yeast Nucleate,,Drosophila melanogaster,Oregon,5 g/kg,20.3,,,S,18856648
1467,Sodium Nitroprusside,,Caenorhabditis elegans,N2,100 µM,-10.95,,,S,33008901
2565,Sodium Nitroprusside,,Drosophila melanogaster,Canton-S,20 μM,-1.69,,Female,NS,33008901
1468,Sodium Nitroprusside,,Caenorhabditis elegans,N2,10 µM,-3.03,,,NS,33008901
1466,Sodium Chloride,7647-14-5,Caenorhabditis elegans,N2,350 mM,40.53,44.44,,S,26854551
1465,Sodium Chloride,7647-14-5,Caenorhabditis elegans,N2,250 mM,40.53,44.44,,S,26854551
1464,Sodium Chloride,7647-14-5,Caenorhabditis elegans,N2,150 mM,19.59,16.67,,S,26854551
3102,Sodim cyclamate,139-05-9,Rattus norvegicus,Wistar,0.43/100 g,9.77,-11.28,MALE,S,5132583
3052,SkQ1,934826-68-3,Podospora anserina,,100 nM,50.0,,,S,19120018
1713,SkQ1,934826-68-3,Ceriodaphnia affinis,,0.55 nM,100.0,,,S,19120018
2564,SkQ1,934826-68-3,Drosophila melanogaster,,20 pM-20 nM,14.0,,,S,19120018
1462,Simvastatin,79902-63-9,Caenorhabditis elegans,N2,100 µM,12.9,,,S,32010481
2563,Simvastatin,79902-63-9,Drosophila melanogaster,,240 µM,25.0,,,S,22737247
1461,Simvastatin,79902-63-9,Caenorhabditis elegans,N2,25 µM,2.5,,,NS,32010481
1463,Simvastatin,79902-63-9,Caenorhabditis elegans,N2,50 µM,13.2,,,S,32010481
1460,Silymarin,84604-20-6,Caenorhabditis elegans,N2,50 µM,13.64,,,S,28039083
1459,Silymarin,84604-20-6,Caenorhabditis elegans,N2,10 µM,4.55,,,S,28039083
1458,Silydianin,29782-68-1,Caenorhabditis elegans,N2,10 µM,5.88,,,S,28039083
1457,Silychristin A/B,,Caenorhabditis elegans,N2,10 µM,7.06,,,S,28039083
1456,Silybin A/B,,Caenorhabditis elegans,N2,10 µM,9.04,,,S,28039083
1455,Shiquan dabu wan,,Caenorhabditis elegans,N2,6.2 g/L,14.5,,,S,24952637
1454,Shengmai yin,,Caenorhabditis elegans,N2,48.0 g/L,47.3,,,S,24952637
1453,Shatavarin IV,84633-34-1,Caenorhabditis elegans,N2,50 µM,17.26,,,S,29069955
2562,Sevelamer,52757-95-6,Drosophila melanogaster,yw,1%,16.0,,Male,S,22942172
1452,Sesamolin,526-07-8,Caenorhabditis elegans,N2,100 μg/ml,2.92,,,NS,30118882
1451,Sesamol,533-31-3,Caenorhabditis elegans,N2,100 μg/ml,9.01,,,NS,30118882
1447,Sesamin,607-80-7,Caenorhabditis elegans,N2,12.5 µg,10.9,,,S,24549958
1445,Sesamin,607-80-7,Caenorhabditis elegans,N2,3.1 µg,10.5,,,S,24549958
1446,Sesamin,607-80-7,Caenorhabditis elegans,N2,25 µg,0.8,,,NS,24549958
1448,Sesamin,607-80-7,Caenorhabditis elegans,N2,6.3 µg,14.1,,,S,24549958
1449,Sesamin,607-80-7,Caenorhabditis elegans,N2,5.75 µg,9.55,,,S,28239780
1450,Sesamin,607-80-7,Caenorhabditis elegans,N2,100 μg/ml,16.93,,,S,30118882
1442,Sesame Cake Peptides,,Caenorhabditis elegans,N2,12.5 µg/ml,15.59,3.57,,S,27381188
1443,Sesame Cake Peptides,,Caenorhabditis elegans,N2,25 µg/ml,13.29,3.57,,S,27381188
1444,Sesame Cake Peptides,,Caenorhabditis elegans,N2,50 µg/ml,5.2,3.57,,S,27381188
2561,Sesame,,Drosophila melanogaster,Oregon R,2 mg/ml,12.0,,Male,S,23291977
1441,Serine,56-45-1,Caenorhabditis elegans,N2,5 mM,24.26,,,S,30845140
1440,Serine,56-45-1,Caenorhabditis elegans,N2,10 mM,22.0,,,S,25643626
1439,Serine,56-45-1,Caenorhabditis elegans,N2,5 mM,18.0,,,S,25643626
1438,Serine,56-45-1,Caenorhabditis elegans,N2,1 mM,8.0,,,S,25643626
1437,Serine,56-45-1,Caenorhabditis elegans,N2,10 mM,9.0,,,S,25643626
3187,Selenomethionine ,3211-76-5,Saccharomyces cerevisiae,BY4741/BY4742,0.00%,,62.0,,S,33783357
3188,Selenomethionine ,3211-76-5,Saccharomyces cerevisiae,BY4741/BY4742,0.00%,30.0,,,S,33783357
